Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SWBI,"Smith & Wesson Brands, Inc.",17.52,$979.43M,n/a,Capital Goods,Ordnance And Accessories,https://old.nasdaq.com/symbol/swbi
SMSI,"Smith Micro Software, Inc.",4.14,$171.21M,1995,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/smsi
SMTX,SMTC Corporation,3.91,$110.32M,2000,Technology,Electrical Products,https://old.nasdaq.com/symbol/smtx
TLMD,"SOC Telemed, Inc.",9,$287.55M,2020,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/tlmd
TLMDW,"SOC Telemed, Inc.",1.45,n/a,2020,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/tlmdw
SCKT,"Socket Mobile, Inc.",2.51,$15.19M,n/a,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/sckt
GIGE,SoFi Gig Economy ETF,32.5238,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/gige
SAII,Software Acquisition Group Inc. II,9.69,$208.94M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/saii
SAIIU,Software Acquisition Group Inc. II,9.9,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/saiiu
SAIIW,Software Acquisition Group Inc. II,0.65,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/saiiw
SOHU,Sohu.com Limited ,19.5,$765.74M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/sohu
SLRC,Solar Capital Ltd.,16.75,$707.87M,2010,n/a,n/a,https://old.nasdaq.com/symbol/slrc
SUNS,Solar Senior Capital Ltd.,13.19,$211.69M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/suns
SEDG,"SolarEdge Technologies, Inc.",237.51,$11.9B,2015,Technology,Semiconductors,https://old.nasdaq.com/symbol/sedg
SLNO,"Soleno Therapeutics, Inc.",1.94,$154.41M,2014,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/slno
SLGL,Sol-Gel Technologies Ltd.,7.99,$183.75M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/slgl
SLDB,Solid Biosciences Inc.,3.22,$173.65M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/sldb
SNGX,"Soligenix, Inc.",1.64,$48.95M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sngx
SNGXW,"Soligenix, Inc.",0.5599,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sngxw
SOLY,"Soliton, Inc.",8.16,$172.91M,2019,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/soly
SONM,"Sonim Technologies, Inc.",0.5378,$35.46M,2019,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/sonm
SONN,"Sonnet BioTherapeutics Holdings, Inc.",2.54,$34.66M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/sonn
SNOA,"Sonoma Pharmaceuticals, Inc.",7.33,$14.81M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/snoa
SONO,"Sonos, Inc.",16.07,$1.78B,2018,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/sono
SRNE,"Sorrento Therapeutics, Inc.",6.98,$1.83B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/srne
SOHO,Sotherly Hotels Inc.,1.57,$23.36M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/soho
SOHOB,Sotherly Hotels Inc.,6.045,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sohob
SOHON,Sotherly Hotels Inc.,6.06,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sohon
SOHOO,Sotherly Hotels Inc.,6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sohoo
